"Champion","HeroId","ArtifactId","Slot","PrimaryStat","AscendedStat","AscensionLevel","Rank","Rarity","Level","SetCode"
"Arbiter","26009","13841","Weapon","ATK","DEF","6","6","4","16","38"
"Bad-el-Kazar","39782","47167","Amulet","DEF","ATK","1","6","5","16","0"
"Bad-el-Kazar","39782","102130","Weapon","ATK","DEF","1","6","6","16","61"
"Cleopterix","38545","54935","Amulet","ATK","DEF","1","6","4","16","0"
"Deacon Armstrong","14940","19648","Ring","ATK","DEF","2","5","5","16","0"
"Deacon Armstrong","14940","14546","Weapon","ATK","DEF","1","5","4","16","37"
"Firrol the Barkhorn","43308","54875","Gloves","DEF%","ATK%","2","6","5","16","61"
"Freyja Fateweaver","35004","47855","Shield","DEF","ATK","1","5","6","16","47"
"Genbo the Dishonored","39086","55092","Amulet","ATK","DEF","2","5","4","16","0"
"Heiress","19828","23950","Ring","ATK","DEF","6","6","4","16","0"
"Maneater","9145","100879","Weapon","ATK","DEF","1","6","6","16","61"
"Sun Wukong","8573","89993","Shield","DEF","ATK","6","6","4","16","59"
"Visix the Unbowed","21446","40502","Amulet","DEF","ATK","1","6","5","16","0"
