"Champion","HeroId","ArtifactId","Slot","PrimaryStat","AscendedStat","AscensionLevel","Rank","Rarity","Level","SetCode"
"Akemtum","63546","69603","Amulet","C.DMG","DEF","1","5","3","16","0"
"Akemtum","63546","62102","Gloves","C.RATE","DEF","1","6","4","16","29"
"Akoth the Seared","41141","14319","Boots","SPD","SPD","1","5","5","16","4"
"Alice the Wanderer","47502","80317","Amulet","DEF","C.DMG","1","5","4","16","0"
"Alice the Wanderer","47502","46841","Banner","DEF","ACC","6","6","5","16","61"
"Alice the Wanderer","47502","55475","Boots","SPD","HP%","5","5","3","16","38"
"Alice the Wanderer","47502","72574","Chest","HP%","ACC","1","6","5","16","61"
"Alice the Wanderer","47502","65694","Gloves","DEF%","C.DMG","1","6","4","16","38"
"Alice the Wanderer","47502","84076","Helmet","HP","DEF","1","6","6","16","61"
"Alice the Wanderer","47502","97921","Ring","HP","HP","6","6","4","16","0"
"Alice the Wanderer","47502","55500","Shield","DEF","HP","1","6","5","16","38"
"Alice the Wanderer","47502","104744","Weapon","ATK","ATK","1","6","5","16","38"
"Amoch the First Satrap","73857","4466","Amulet","HP","C.DMG","2","5","4","16","0"
"Aox the Rememberer","48818","13486","Banner","HP","ATK","2","5","3","16","0"
"Arbiter","26009","53275","Amulet","DEF","C.DMG","1","6","5","16","61"
"Arbiter","26009","87313","Banner","ACC","RES","1","6","5","16","61"
"Arbiter","26009","74705","Boots","SPD","DEF%","1","6","4","16","38"
"Arbiter","26009","84170","Chest","HP%","ATK%","1","5","6","16","48"
"Arbiter","26009","71613","Gloves","HP%","DEF","1","6","6","16","47"
"Arbiter","26009","38070","Helmet","HP","HP","1","5","5","16","47"
"Arbiter","26009","89682","Ring","HP","DEF","1","5","4","16","48"
"Arbiter","26009","41069","Shield","DEF","DEF","1","5","5","16","47"
"Arbiter","26009","13841","Weapon","ATK","DEF","6","6","4","16","38"
"Armiger","7060","17703","Boots","SPD","HP%","1","6","5","16","38"
"Artak","3877","3288","Gloves","C.DMG","C.DMG","5","5","4","16","17"
"Astralon","69500","92791","Gloves","C.DMG","C.RATE","6","6","4","16","38"
"Authoratrix Lamasu","64396","45836","Boots","SPD","HP%","4","5","3","16","30"
"Bad-el-Kazar","39782","47167","Amulet","DEF","ATK","1","6","5","16","0"
"Bad-el-Kazar","39782","54179","Banner","ACC","DEF","1","5","3","16","0"
"Bad-el-Kazar","39782","67399","Boots","SPD","SPD","1","6","4","16","38"
"Bad-el-Kazar","39782","45009","Chest","ACC","ATK%","1","6","4","16","30"
"Bad-el-Kazar","39782","73931","Gloves","HP%","C.RATE","1","6","5","16","30"
"Bad-el-Kazar","39782","52549","Helmet","HP","DEF","1","6","4","16","38"
"Bad-el-Kazar","39782","54117","Ring","DEF","DEF","1","6","5","16","0"
"Bad-el-Kazar","39782","89669","Shield","DEF","HP","1","6","5","16","48"
"Bad-el-Kazar","39782","102130","Weapon","ATK","DEF","1","6","6","16","61"
"Basher","67000","92724","Boots","SPD","ATK%","1","6","4","16","38"
"Basher","67000","62204","Helmet","HP","DEF","6","6","4","16","38"
"Cleopterix","38545","54935","Amulet","ATK","DEF","1","6","4","16","0"
"Cleopterix","38545","50337","Gloves","C.RATE","HP","1","6","4","16","29"
"Coldheart","20895","53278","Amulet","C.DMG","ATK","6","6","5","16","61"
"Coldheart","20895","90769","Gloves","C.DMG","C.RATE","1","6","5","16","30"
"Coldheart","20895","49330","Ring","HP","DEF","6","6","4","16","60"
"Dark Kael","44995","57942","Amulet","C.DMG","HP","1","5","4","16","0"
"Dark Kael","44995","58071","Boots","SPD","ATK","1","6","4","16","29"
"Dark Kael","44995","41384","Gloves","HP%","HP%","1","6","4","16","38"
"Deacon Armstrong","14940","19670","Amulet","HP","DEF","1","5","4","16","0"
"Deacon Armstrong","14940","19650","Banner","RES","ACC","1","6","5","16","0"
"Deacon Armstrong","14940","72942","Boots","SPD","HP%","1","6","5","16","30"
"Deacon Armstrong","14940","90029","Chest","HP%","HP","1","6","4","16","4"
"Deacon Armstrong","14940","45008","Gloves","DEF%","C.DMG","2","6","4","16","30"
"Deacon Armstrong","14940","72884","Helmet","HP","ATK","1","6","6","16","12"
"Deacon Armstrong","14940","19648","Ring","ATK","DEF","2","5","5","16","0"
"Deacon Armstrong","14940","62472","Shield","DEF","HP","1","6","5","16","37"
"Deacon Armstrong","14940","14546","Weapon","ATK","DEF","1","5","4","16","37"
"Demytha","16279","21126","Banner","DEF","DEF","6","6","5","16","0"
"Dhukk the Pierced","68821","51359","Gloves","C.RATE","C.RATE","2","6","4","16","38"
"Dracomorph","29319","40441","Amulet","C.DMG","DEF","1","5","3","16","0"
"Dracomorph","29319","38927","Gloves","C.RATE","ATK","1","6","3","16","47"
"Duchess Lilitu","68860","70739","Amulet","C.DMG","HP","6","6","6","16","47"
"Edward Kenway","73852","46723","Gloves","C.DMG","HP","1","6","3","16","18"
"Elenaril","63939","92546","Amulet","C.DMG","ATK","1","5","5","16","0"
"Elenaril","63939","60570","Gloves","C.RATE","DEF%","2","5","6","16","47"
"Embrys the Anomaly","67253","43818","Amulet","C.DMG","HP","6","6","3","16","0"
"Embrys the Anomaly","67253","53276","Banner","ACC","ACC","6","6","5","16","61"
"Embrys the Anomaly","67253","97714","Boots","SPD","HP%","6","6","5","16","35"
"Embrys the Anomaly","67253","53256","Chest","HP%","RES","1","6","5","16","61"
"Embrys the Anomaly","67253","67706","Gloves","C.RATE","HP","6","6","4","16","38"
"Embrys the Anomaly","67253","76600","Helmet","HP","DEF","1","6","6","16","47"
"Embrys the Anomaly","67253","73915","Ring","HP","DEF","1","6","5","16","61"
